H1106.results
H1111.results
H1114.results
H1129.results
H1134.results
H1135.results
H1137.results
H1140.results
H1141.results
H1142.results
H1143.results
H1144.results
H1151.results
H1157.results
H1166.results
H1167.results
H1168.results
H1171.results
H1172.results
H1185.results
T1109.results
T1110.results
T1113.results
T1115.results
T1121.results
T1123.results
T1124.results
T1127.results
T1132.results
T1153.results
T1160.results
T1161.results
T1170.results
T1173.results
T1174.results
T1176.results
T1178.results
T1179.results
T1181.results
T1187.results
T1192.results
003,011,035,037,046,052,054,067,071,073,074,086,091,092,097,098,119,122,125,131,132,133,147,150,158,165,169,180,185,187,188,199,201,205,215,225,227,229,234,236,239,245,248,257,278,288,291,298,304,312,314,315,317,320,325,333,338,347,348,350,352,360,367,368,370,374,385,390,397,398,399,423,433,434,439,441,444,446,447,456,460,461,462,472,477,481,493,494
H1106,H1111,H1114,H1129,H1134,H1135,H1137,H1140,H1141,H1142,H1143,H1144,H1151,H1157,H1166,H1167,H1168,H1171,H1172,H1185,T1109,T1110,T1113,T1115,T1121,T1123,T1124,T1127,T1132,T1153,T1160,T1161,T1170,T1173,T1174,T1176,T1178,T1179,T1181,T1187,T1192
0.913,0.00,0.859,0.936,0.00,0.00,0.937,0.618,0.916,0.85,0.00,0.931,0.92,0.854,0.922,0.933,0.912,0.00,0.931,0.933,0.00,0.00,0.833,0.934,0.932,0.934,0.933,0.858,0.922,0.867,0.859,0.00,0.853,0.831,0.923,0.847,0.802,0.855,0.339,0.00,0.855,0.9,0.912,0.903,0.909,0.935,0.857,0.932,0.00,0.63,0.00,0.494,0.00,0.934,0.00,0.234,0.00,0.00,0.933,0.857,0.00,0.926,0.911,0.234,0.147,0.915,0.9,0.934,0.00,0.924,0.937,0.867,0.936,0.877,0.911,0.936,0.933,0.853,0.584,0.00,0.00,0.853,0.856,0.00,0.854,0.00,0.934,0.851
0.933,0.00,0.858,0.932,0.00,0.00,0.926,0.639,0.911,0.868,0.00,0.925,0.921,0.0,0.0,0.933,0.908,0.00,0.594,0.934,0.00,0.00,0.837,0.933,0.93,0.0,0.86,0.857,0.924,0.931,0.851,0.00,0.856,0.866,0.0,0.855,0.802,0.934,0.345,0.00,0.934,0.846,0.911,0.0,0.908,0.934,0.857,0.933,0.00,0.587,0.00,0.508,0.00,0.933,0.00,0.505,0.00,0.00,0.923,0.857,0.00,0.923,0.932,0.505,0.587,0.913,0.846,0.933,0.00,0.604,0.926,0.931,0.935,0.855,0.933,0.935,0.901,0.856,0.864,0.00,0.00,0.856,0.856,0.00,0.0,0.00,0.933,0.919
0.93,0.00,0.93,0.934,0.00,0.00,0.935,0.0,0.908,0.835,0.00,0.925,0.921,0.0,0.0,0.585,0.909,0.00,0.932,0.932,0.00,0.00,0.823,0.934,0.934,0.0,0.859,0.858,0.932,0.934,0.933,0.00,0.857,0.857,0.0,0.845,0.803,0.926,0.341,0.00,0.926,0.853,0.913,0.0,0.857,0.936,0.859,0.932,0.00,0.622,0.00,0.494,0.00,0.934,0.00,0.172,0.00,0.00,0.933,0.859,0.00,0.925,0.932,0.172,0.59,0.917,0.853,0.934,0.00,0.815,0.935,0.934,0.936,0.853,0.932,0.936,0.929,0.857,0.864,0.00,0.00,0.857,0.855,0.00,0.0,0.00,0.937,0.908
0.934,0.00,0.934,0.924,0.00,0.00,0.926,0.0,0.905,0.846,0.00,0.924,0.917,0.0,0.0,0.614,0.911,0.00,0.921,0.934,0.00,0.00,0.861,0.933,0.934,0.0,0.934,0.857,0.925,0.933,0.85,0.00,0.851,0.896,0.0,0.934,0.804,0.926,0.337,0.00,0.926,0.876,0.909,0.0,0.854,0.934,0.852,0.933,0.00,0.683,0.00,0.499,0.00,0.933,0.00,0.234,0.00,0.00,0.933,0.852,0.00,0.928,0.932,0.234,0.585,0.915,0.876,0.933,0.00,0.6,0.926,0.933,0.935,0.86,0.853,0.935,0.928,0.931,0.864,0.00,0.00,0.931,0.855,0.00,0.0,0.00,0.934,0.932
0.902,0.00,0.862,0.936,0.00,0.00,0.932,0.0,0.916,0.874,0.00,0.93,0.919,0.0,0.0,0.86,0.91,0.00,0.593,0.933,0.00,0.00,0.833,0.932,0.931,0.0,0.933,0.856,0.9,0.897,0.86,0.00,0.931,0.846,0.0,0.807,0.802,0.859,0.352,0.00,0.859,0.846,0.902,0.0,0.856,0.93,0.91,0.933,0.00,0.624,0.00,0.482,0.00,0.932,0.00,0.194,0.00,0.00,0.861,0.91,0.00,0.922,0.912,0.194,0.591,0.914,0.846,0.932,0.00,0.614,0.932,0.897,0.935,0.861,0.859,0.935,0.905,0.851,0.87,0.00,0.00,0.851,0.856,0.00,0.0,0.00,0.909,0.932
0.935,0.00,0.828,0.093,0.00,0.00,0.17,0.0,0.0,0.0,0.00,0.94,0.973,0.076,0.0,0.234,0.975,0.00,0.17,0.0,0.00,0.00,0.879,0.306,0.723,0.979,0.046,0.694,0.708,0.08,0.232,0.00,0.0,0.0,0.0,0.981,0.077,0.0,0.508,0.00,0.982,0.077,0.777,0.973,0.0,0.978,0.0,0.232,0.00,0.0,0.00,0.0,0.00,0.519,0.00,0.08,0.00,0.00,0.677,0.0,0.00,0.232,0.931,0.08,0.0,0.982,0.077,0.08,0.978,0.0,0.17,0.212,0.074,0.959,0.982,0.074,0.981,0.079,0.0,0.00,0.00,0.949,0.073,0.00,0.0,0.00,0.0,0.978
0.934,0.00,0.779,0.093,0.00,0.00,0.274,0.0,0.0,0.0,0.00,0.938,0.974,0.0,0.093,0.232,0.975,0.00,0.274,0.0,0.00,0.00,0.871,0.263,0.738,0.0,0.053,0.073,0.426,0.08,0.234,0.00,0.0,0.0,0.0,0.959,0.077,0.0,0.483,0.00,0.984,0.079,0.827,0.0,0.973,0.978,0.0,0.282,0.00,0.0,0.00,0.0,0.00,0.518,0.00,0.078,0.00,0.00,0.0,0.0,0.00,0.282,0.934,0.078,0.0,0.966,0.079,0.078,0.978,0.0,0.274,0.202,0.074,0.981,0.982,0.074,0.696,0.073,0.0,0.00,0.00,0.073,0.073,0.00,0.0,0.00,0.0,0.978
0.938,0.00,0.983,0.079,0.00,0.00,0.26,0.0,0.0,0.0,0.00,0.94,0.973,0.0,0.077,0.256,0.974,0.00,0.26,0.0,0.00,0.00,0.871,0.3,0.74,0.0,0.042,0.079,0.757,0.079,0.256,0.00,0.0,0.0,0.0,0.0,0.079,0.0,0.465,0.00,0.983,0.079,0.576,0.0,0.973,0.977,0.0,0.289,0.00,0.0,0.00,0.0,0.00,0.52,0.00,0.077,0.00,0.00,0.696,0.0,0.00,0.289,0.938,0.077,0.0,0.969,0.079,0.079,0.978,0.0,0.26,0.207,0.076,0.0,0.982,0.076,0.982,0.077,0.0,0.00,0.00,0.077,0.079,0.00,0.0,0.00,0.0,0.951
