H1106.results
H1111.results
T1119.results
H1134.results
T1170.results
H1171.results
H1172.results
T1124.results
T1121.results
H1129.results
T1123.results
003,011,035,037,046,054,067,071,073,086,091,092,097,098,119,122,125,131,133,147,150,158,165,169,180,185,187,188,199,201,205,215,225,227,229,234,236,239,245,248,257,278,288,291,298,304,312,314,315,317,320,325,333,338,347,348,350,352,360,367,368,370,374,385,390,397,398,399,423,433,434,439,441,444,446,447,456,460,461,462,472,477,493,494
H1106,H1111,T1119,H1134,T1170,H1171,H1172,T1124,T1121,H1129,T1123
0.91075,0.00,0.85297,0.93590,0.00,0.93753,0.63479,0.91517,0.84470,0.93081,0.91978,0.84598,0.92238,0.93310,0.90966,0.00,0.93094,0.93342,0.00,0.83026,0.93448,0.93251,0.93411,0.93310,0.85253,0.92103,0.86259,0.85280,0.00,0.84794,0.82547,0.92364,0.84130,0.80456,0.85056,0.35697,0.00,0.85056,0.89953,0.91046,0.90108,0.90603,0.93569,0.85080,0.93238,0.00,0.66467,0.00,0.49557,0.00,0.93448,0.00,0.31454,0.00,0.00,0.93312,0.85080,0.00,0.92593,0.90941,0.31454,0.59346,0.91350,0.89953,0.93448,0.00,0.92271,0.93753,0.86259,0.93613,0.87240,0.90736,0.93613,0.93157,0.84834,0.58075,0.00,0.00,0.84834,0.85034,0.00,0.84818,0.93399,0.84732
0.93357,0.00,0.85275,0.93269,0.00,0.92594,0.64303,0.91040,0.86811,0.92381,0.92154,0.00,0.00,0.93310,0.90422,0.00,0.27336,0.93382,0.00,0.83137,0.93330,0.93037,0.00,0.85475,0.85117,0.92285,0.93106,0.84551,0.00,0.85089,0.86304,0.00,0.84815,0.80521,0.93396,0.34927,0.00,0.93396,0.83955,0.90956,0.00,0.90532,0.93411,0.85107,0.93329,0.00,0.59929,0.00,0.50735,0.00,0.93330,0.00,0.51956,0.00,0.00,0.92271,0.85107,0.00,0.92275,0.93232,0.51956,0.58302,0.91156,0.83955,0.93330,0.00,0.63619,0.92594,0.93106,0.93485,0.84835,0.93316,0.93485,0.89907,0.85039,0.85841,0.00,0.00,0.85039,0.85072,0.00,0.00,0.93329,0.91958
0.93037,0.00,0.93053,0.93378,0.00,0.93504,0.00,0.90642,0.83049,0.92499,0.91962,0.00,0.00,0.60110,0.90604,0.00,0.93239,0.93218,0.00,0.82306,0.93411,0.93412,0.00,0.85280,0.85224,0.93037,0.93436,0.93310,0.00,0.85158,0.85121,0.00,0.83936,0.80553,0.92657,0.34792,0.00,0.92657,0.84733,0.91097,0.00,0.85231,0.93636,0.85253,0.93237,0.00,0.59676,0.00,0.49724,0.00,0.93411,0.00,0.20983,0.00,0.00,0.93286,0.85253,0.00,0.92501,0.93076,0.20983,0.58720,0.91527,0.84733,0.93411,0.00,0.82026,0.93504,0.93436,0.93557,0.84708,0.93229,0.93557,0.92872,0.85109,0.85841,0.00,0.00,0.85109,0.84942,0.00,0.00,0.93671,0.90798
0.93391,0.00,0.93385,0.92395,0.00,0.92569,0.00,0.90341,0.83712,0.92317,0.91766,0.00,0.00,0.60323,0.90858,0.00,0.92045,0.93416,0.00,0.85673,0.93372,0.93410,0.00,0.93448,0.85210,0.92346,0.93288,0.84495,0.00,0.84786,0.89309,0.00,0.93448,0.80601,0.92615,0.35836,0.00,0.92615,0.87403,0.90591,0.00,0.84955,0.93425,0.84680,0.93311,0.00,0.67482,0.00,0.51298,0.00,0.93372,0.00,0.31454,0.00,0.00,0.93372,0.84680,0.00,0.92731,0.93129,0.31454,0.58049,0.91289,0.87403,0.93372,0.00,0.63428,0.92569,0.93288,0.93482,0.85373,0.84808,0.93482,0.92624,0.93092,0.85841,0.00,0.00,0.93092,0.84917,0.00,0.00,0.93359,0.93212
0.90076,0.00,0.85695,0.93551,0.00,0.93247,0.00,0.91520,0.87339,0.92959,0.91934,0.00,0.00,0.85475,0.90880,0.00,0.27336,0.93273,0.00,0.83513,0.93221,0.93103,0.00,0.93307,0.85034,0.89822,0.89598,0.85475,0.00,0.93099,0.84030,0.00,0.80037,0.80495,0.85336,0.34191,0.00,0.85336,0.83935,0.90066,0.00,0.85115,0.93046,0.90938,0.93324,0.00,0.61386,0.00,0.48760,0.00,0.93221,0.00,0.20422,0.00,0.00,0.85433,0.90938,0.00,0.92169,0.91048,0.20422,0.58817,0.91198,0.83935,0.93221,0.00,0.63425,0.93247,0.89598,0.93484,0.85577,0.85376,0.93484,0.90333,0.84650,0.86473,0.00,0.00,0.84650,0.85129,0.00,0.00,0.90891,0.93233
0.87242,0.00,0.80843,0.10543,0.00,0.14088,0.00,0.00,0.00,0.88155,0.95021,0.07241,0.00,0.16516,0.96019,0.00,0.14088,0.00,0.00,0.11275,0.20389,0.57718,0.96665,0.02771,0.97110,0.65595,0.07311,0.14592,0.00,0.00,0.00,0.01399,0.97339,0.10473,0.00,0.69336,0.00,0.97481,0.10511,0.70761,0.96051,0.32083,0.96876,0.00,0.14392,0.00,0.00,0.00,0.00,0.00,0.10872,0.00,0.10482,0.00,0.00,0.95522,0.00,0.00,0.14392,0.86702,0.10482,0.00,0.16472,0.10511,0.10525,0.97015,0.00,0.14088,0.00,0.07045,0.95189,0.97481,0.07045,0.97215,0.10419,0.00,0.00,0.00,0.88895,0.10439,0.00,0.00,0.00,0.97002
0.87329,0.00,0.71113,0.10529,0.00,0.14149,0.00,0.00,0.00,0.87868,0.95182,0.00,0.00,0.14592,0.96012,0.00,0.14149,0.00,0.00,0.11508,0.11542,0.58169,0.00,0.02845,0.10394,0.65779,0.10518,0.16516,0.00,0.00,0.00,0.01399,0.95190,0.10419,0.00,0.68325,0.00,0.97742,0.10468,0.80808,0.00,0.15960,0.97004,0.00,0.06977,0.00,0.00,0.00,0.00,0.00,0.10761,0.00,0.10482,0.00,0.00,0.97313,0.00,0.00,0.06977,0.87199,0.10482,0.00,0.14409,0.10468,0.10474,0.97015,0.00,0.14149,0.00,0.07202,0.97338,0.97481,0.07202,0.97544,0.10422,0.00,0.00,0.00,0.10422,0.10394,0.00,0.00,0.00,0.97002
0.87981,0.00,0.97587,0.10419,0.00,0.11732,0.00,0.00,0.00,0.88108,0.95024,0.00,0.00,0.19818,0.96007,0.00,0.11732,0.00,0.00,0.10649,0.16574,0.58154,0.00,0.02735,0.10437,0.70212,0.07234,0.19818,0.00,0.00,0.00,0.00,0.00,0.10473,0.00,0.67538,0.00,0.97594,0.10498,0.67969,0.00,0.95114,0.96739,0.00,0.09360,0.00,0.00,0.00,0.00,0.00,0.10866,0.00,0.10524,0.00,0.00,0.97372,0.00,0.00,0.09360,0.87820,0.10524,0.00,0.15318,0.10498,0.10392,0.97015,0.00,0.11732,0.00,0.07385,0.00,0.97481,0.07385,0.97429,0.10456,0.00,0.00,0.00,0.10456,0.10437,0.00,0.00,0.00,0.15076
0.87453,0.00,0.81993,0.10535,0.00,0.07301,0.00,0.00,0.00,0.87820,0.95123,0.00,0.00,0.16516,0.96008,0.00,0.07301,0.00,0.00,0.00,0.07067,0.57507,0.00,0.02107,0.10439,0.65579,0.10477,0.19818,0.00,0.00,0.00,0.00,0.00,0.10464,0.00,0.67652,0.00,0.96756,0.10314,0.81887,0.00,0.95114,0.97160,0.00,0.05740,0.00,0.00,0.00,0.00,0.00,0.10847,0.00,0.10494,0.00,0.00,0.00,0.00,0.00,0.05740,0.88830,0.10494,0.00,0.16391,0.10314,0.10529,0.97015,0.00,0.07301,0.00,0.07136,0.00,0.97741,0.07136,0.97608,0.10384,0.00,0.00,0.00,0.10384,0.10439,0.00,0.00,0.00,0.15076
0.87925,0.00,0.70546,0.10522,0.00,0.06717,0.00,0.00,0.00,0.86702,0.95125,0.00,0.00,0.14592,0.96009,0.00,0.06717,0.00,0.00,0.00,0.13122,0.57751,0.00,0.02679,0.10422,0.71741,0.10473,0.14392,0.00,0.00,0.00,0.00,0.00,0.10442,0.00,0.68988,0.00,0.96682,0.10511,0.70736,0.00,0.95114,0.97052,0.00,0.12247,0.00,0.00,0.00,0.00,0.00,0.10632,0.00,0.10431,0.00,0.00,0.00,0.00,0.00,0.12247,0.88693,0.10431,0.00,0.14872,0.10511,0.10503,0.97015,0.00,0.06717,0.00,0.06994,0.00,0.97742,0.06994,0.97545,0.10419,0.00,0.00,0.00,0.10419,0.10422,0.00,0.00,0.00,0.00
0.32262,0.00,0.28744,0.34232,0.00,0.32772,0.00,0.33190,0.00,0.32489,0.32720,0.00,0.00,0.32638,0.21580,0.00,0.32772,0.32622,0.00,0.32399,0.32364,0.32877,0.32614,0.32803,0.32795,0.32590,0.32900,0.33030,0.00,0.00,0.32405,0.00,0.00,0.00,0.00,0.00,0.00,0.32847,0.00,0.28744,0.00,0.33389,0.00,0.00,0.33461,0.00,0.31853,0.27507,0.00,0.00,0.31766,0.00,0.00,0.00,0.00,0.32679,0.32893,0.00,0.32819,0.32690,0.00,0.00,0.32847,0.33223,0.31766,0.00,0.32639,0.32772,0.34288,0.00,0.00,0.32774,0.00,0.32943,0.32847,0.32255,0.00,0.00,0.32847,0.32795,0.00,0.33063,0.00,0.32508
0.32468,0.00,0.30181,0.35935,0.00,0.32704,0.00,0.32763,0.00,0.32853,0.32543,0.00,0.00,0.35933,0.21229,0.00,0.32704,0.21544,0.00,0.32966,0.32064,0.32671,0.33031,0.32795,0.32888,0.32629,0.33285,0.32116,0.00,0.00,0.33317,0.00,0.00,0.00,0.00,0.00,0.00,0.25369,0.00,0.30181,0.00,0.34653,0.00,0.00,0.32982,0.00,0.32173,0.27445,0.00,0.00,0.32525,0.00,0.00,0.00,0.00,0.32639,0.32888,0.00,0.32769,0.32468,0.00,0.00,0.32889,0.33223,0.32525,0.00,0.32217,0.32704,0.32233,0.00,0.00,0.32758,0.00,0.32945,0.32796,0.32458,0.00,0.00,0.32796,0.32888,0.00,0.00,0.00,0.32993
