,model,qscore,dockq,tmscore
0,T1181TS122_2o,0.541,0.21894918504314476,0.46568
1,T1181TS185_2o,0.527,0.16533557046979866,0.83837
2,T1181TS003_2o,0.571,0.19366922339405562,0.44773
3,T1181TS074_5o,0.375,0.09868648130393097,0.74237
4,T1181TS188_1o,0.364,0.136712368168744,0.77603
5,T1181TS423_2o,0.385,0.07997507190795781,0.67824
6,T1181TS446_3o,0.463,0.15165771812080536,0.42134
7,T1181TS314_2o,0.528,0.17000958772770852,0.76772
8,T1181TS291_1o,0.483,0.20424544582933846,0.44158
9,T1181TS035_1o,0.307,0.11771140939597316,0.7673
10,T1181TS035_2o,0.336,0.13900958772770855,0.79847
11,T1181TS444_1o,0.199,0.08333173537871524,0.40548
12,T1181TS180_5o,0.457,0.14301150527325024,0.83479
13,T1181TS441_2o,0.016,0.03664333652924257,0.68077
14,T1181TS147_2o,0.341,0.13961744966442952,0.39589
15,T1181TS046_5o,0.305,0.10801054650047939,0.78116
16,T1181TS350_2o,0.521,0.18000287631831255,0.77685
17,T1181TS304_2o,0.336,0.13900958772770855,0.79847
18,T1181TS325_3o,0.267,0.11033173537871524,0.44294
19,T1181TS205_4o,0.325,0.13542281879194631,0.40106
20,T1181TS239_5o,0.566,0.1883346116970278,0.75049
21,T1181TS399_1o,0.405,0.13700479386385425,0.76787
22,T1181TS180_3o,0.479,0.1270124640460211,0.83005
23,T1181TS073_2o,0.376,0.10071524448705657,0.38242
24,T1181TS360_1o,0.616,0.22468648130393098,0.85009
25,T1181TS439_1o,0.657,0.25285714285714284,0.87569
26,T1181TS278_2o,0.608,0.23667593480345156,0.85136
27,T1181TS122_1o,0.541,0.21894918504314476,0.46568
28,T1181TS037_2o,0.418,0.1912751677852349,0.45145
29,T1181TS150_2o,0.418,0.1256653883029722,0.39614
30,T1181TS150_3o,0.395,0.12467689357622244,0.76504
31,T1181TS304_4o,0.31,0.11634324065196548,0.78404
32,T1181TS374_5o,0.567,0.201006711409396,0.8381
33,T1181TS423_4o,0.134,0.03200958772770854,0.49669
34,T1181TS385_1o,0.403,0.13767305848513903,0.76023
35,T1181TS248_1o,0.307,0.11771140939597316,0.7673
36,T1181TS298_3o,0.312,0.11269798657718122,0.41729
37,T1181TS037_1o,0.497,0.1326260786193672,0.39191
38,T1181TS494_5o,0.028,0.04000575263662512,0.35688
39,T1181TS446_5o,0.487,0.14163279002876317,0.81959
40,T1181TS462_2o,0.536,0.21496164908916587,0.46563
41,T1181TS229_5o,0.566,0.1883346116970278,0.75049
42,T1181TS122_4o,0.541,0.21894918504314476,0.46568
43,T1181TS035_4o,0.31,0.11634324065196548,0.78404
44,T1181TS003_4o,0.515,0.1910968360498562,0.84606
45,T1181TS320_4o,0.352,0.13884563758389262,0.45109
46,T1181TS367_3o,0.571,0.19366922339405562,0.44773
47,T1181TS165_2o,0.263,0.086,0.35803
48,T1181TS239_2o,0.657,0.25285714285714284,0.87569
49,T1181TS187_4o,0.385,0.07997507190795781,0.67824
50,T1181TS314_3o,0.491,0.15096548418024927,0.75294
51,T1181TS074_4o,0.443,0.09167497603068073,0.73392
52,T1181TS073_4o,0.375,0.09765004793863855,0.37718
53,T1181TS131_2o,0.425,0.13029721955896453,0.81315
54,T1181TS098_3o,0.364,0.136712368168744,0.77603
55,T1181TS441_5o,0.005,0.013969319271332693,0.44737
56,T1181TS229_3o,0.526,0.20835666347075743,0.43687
57,T1181TS447_1o,0.016,0.045373921380632794,0.31875
58,T1181TS150_4o,0.309,0.05332885906040268,0.35052
59,T1181TS147_4o,0.309,0.12233652924256952,0.38163
60,T1181TS098_2o,0.027,0.008344199424736336,0.36415
61,T1181TS125_3o,0.417,0.1466490891658677,0.79193
62,T1181TS493_2o,0.515,0.1686260786193672,0.39274
63,T1181TS433_2o,0.016,0.03664333652924257,0.68077
64,T1181TS003_5o,0.512,0.19832310642377757,0.44209
65,T1181TS248_4o,0.31,0.11634324065196548,0.78404
66,T1181TS325_1o,0.267,0.11033173537871524,0.44294
67,T1181TS423_5o,0.162,0.016978906999041227,0.61428
68,T1181TS086_5o,0.512,0.19832310642377757,0.44209
69,T1181TS119_2o,0.661,0.24535762224352828,0.86313
70,T1181TS046_4o,0.31,0.11634324065196548,0.78404
71,T1181TS278_5o,0.509,0.21532885906040267,0.45507
72,T1181TS131_1o,0.464,0.16265963566634709,0.81444
73,T1181TS367_4o,0.52,0.22419079578139978,0.44755
74,T1181TS461_5o,0.487,0.14163279002876317,0.81959
75,T1181TS003_3o,0.515,0.1989856184084372,0.44535
76,T1181TS320_3o,0.456,0.1706673058485139,0.76948
77,T1181TS423_1o,0.398,0.0813470757430489,0.71916
78,T1181TS278_4o,0.542,0.2006740172579099,0.8219
79,T1181TS278_1o,0.636,0.2473489932885906,0.85449
80,T1181TS091_4o,0.015,0.010313518696069031,0.36595
81,T1181TS312_5o,0.0,0.003,0.31938
82,T1181TS348_3o,0.528,0.17000958772770852,0.76772
83,T1181TS398_3o,0.52,0.17300767018216684,0.833
84,T1181TS035_3o,0.325,0.11569511025886864,0.79303
85,T1181TS347_1o,0.267,0.11033173537871524,0.44294
86,T1181TS446_2o,0.549,0.18665867689357624,0.83394
87,T1181TS350_5o,0.486,0.16002972195589646,0.76894
88,T1181TS248_2o,0.336,0.13900958772770855,0.79847
89,T1181TS073_3o,0.449,0.14235762224352827,0.42059
90,T1181TS441_3o,0.0,0.027056567593480345,0.59711
91,T1181TS071_2o,0.515,0.20968839884947266,0.45713
92,T1181TS158_5o,0.545,0.1760268456375839,0.81821
93,T1181TS367_5o,0.557,0.2383384467881112,0.48033
94,T1181TS158_2o,0.571,0.19366922339405562,0.44773
95,T1181TS188_4o,0.358,0.10903451581975071,0.37139
96,T1181TS086_1o,0.571,0.19366922339405562,0.44773
97,T1181TS461_2o,0.549,0.18665867689357624,0.83394
98,T1181TS477_1o,0.558,0.1863432406519655,0.83725
99,T1181TS325_2o,0.267,0.11033173537871524,0.44294
100,T1181TS360_2o,0.356,0.13034324065196548,0.75376
101,T1181TS350_4o,0.521,0.16132214765100672,0.39999
102,T1181TS098_1o,0.347,0.1257861936720997,0.4076
103,T1181TS433_3o,0.0,0.027056567593480345,0.59711
104,T1181TS165_5o,0.148,0.04566442953020135,0.50221
105,T1181TS150_5o,0.315,0.09633557046979865,0.39053
106,T1181TS035_5o,0.305,0.10801054650047939,0.78116
107,T1181TS119_1o,0.687,0.2593815915627996,0.86519
108,T1181TS399_4o,0.36,0.060656759348034515,0.69359
109,T1181TS398_4o,0.52,0.17300767018216684,0.833
110,T1181TS037_3o,0.447,0.09303739213806328,0.72582
111,T1181TS390_4o,0.403,0.13699328859060403,0.75997
112,T1181TS119_5o,0.641,0.23638063279002877,0.45
