,targetname,ori_tmscore,ref_tmscore
0,H1134,0.92574,0.92526
1,H1140,0.60539,0.60952
2,H1141,0.67213,0.67099
3,H1142,0.61286,0.61484
4,H1143,0.98259,0.98218
5,H1144,0.67842,0.83531
6,H1151,0.93458,0.94461
7,H1167,0.52187,0.53439
8,T1121,0.54569,0.5469
9,T1123,0.89463,0.89924
10,T1127,0.97043,0.97734
11,T1153,0.9288,0.48864
12,T1160,0.34253,0.34222
13,T1161,0.45373,0.45551
14,T1173,0.97304,0.98816
15,T1174,0.74186,0.72724
16,T1178,0.94687,0.9469
17,T1179,0.87582,0.85727
18,T1187,0.68934,0.89932
